SSN,LotID,PanelID,Product,Config,ProcessDate,EqpID,Chamber,Slot,Recipe,Anneal_Temp,O2_Flow,Etch_Time,Pressure,RF_Power,Gas_Ratio,Thickness_Pre,CD_Pre
SSN2026000000,LOT0008,PNL00371,OLED_B,CFG_HIGH,2026-02-08,EQP02,CH1,1,RCP_A,499.95,78.67,67.14,1.6185,471.82,1.1171,703.1,49.974
SSN2026000001,LOT0066,PNL00182,OLED_C,CFG_HIGH,2026-02-24,EQP03,CH2,7,RCP_A,506.85,86.71,69.76,1.6547,458.42,1.0523,718.67,48.707
SSN2026000002,LOT0056,PNL00161,OLED_A,CFG_STD,2026-01-15,EQP05,CH3,7,RCP_B,502.88,76.54,60.72,1.5547,512.33,1.0748,690.12,55.667
SSN2026000003,LOT0038,PNL00226,OLED_A,CFG_HIGH,2026-02-13,EQP02,CH2,9,RCP_A,525.22,80.87,64.2,1.5326,479.67,1.0518,643.87,52.758
SSN2026000004,LOT0037,PNL00418,OLED_C,CFG_STD,2026-02-24,EQP03,CH1,7,RCP_A,529.34,78.68,52.0,1.5712,451.25,1.0308,691.04,50.184
SSN2026000005,LOT0073,PNL00170,OLED_B,CFG_HIGH,2026-03-04,EQP04,CH2,3,RCP_B,535.08,61.03,62.36,1.5209,480.84,0.9265,767.14,54.717
SSN2026000006,LOT0008,PNL00640,OLED_B,CFG_HIGH,2026-02-15,EQP02,CH2,5,RCP_B,506.47,82.99,54.09,1.5489,456.7,0.9478,724.29,54.077
SSN2026000007,LOT0060,PNL00336,OLED_B,CFG_STD,2026-03-31,EQP02,CH1,6,RCP_C,484.74,80.54,59.66,1.5725,456.58,0.9219,749.38,48.933
SSN2026000008,LOT0018,PNL00604,OLED_A,CFG_STD,2026-03-31,EQP04,CH3,12,RCP_B,533.43,92.17,76.66,1.7308,500.37,1.0181,701.65,50.068
SSN2026000009,LOT0009,PNL00478,OLED_B,CFG_HIGH,2026-01-09,EQP01,CH2,7,RCP_C,508.7,82.04,61.67,1.4781,423.57,1.0486,653.44,51.249
SSN2026000010,LOT0045,PNL00234,OLED_A,CFG_STD,2026-01-08,EQP02,CH3,8,RCP_B,518.26,71.96,55.25,1.4566,455.82,0.9141,683.39,49.467
SSN2026000011,LOT0083,PNL00160,OLED_A,CFG_LOW,2026-02-16,EQP03,CH2,9,RCP_B,502.86,79.94,62.24,1.5645,496.64,1.0358,719.53,51.316
SSN2026000012,LOT0063,PNL00521,OLED_B,CFG_HIGH,2026-03-16,EQP02,CH4,5,RCP_A,511.81,65.27,57.16,1.347,465.81,0.96,715.7,52.853
SSN2026000013,LOT0065,PNL00232,OLED_B,CFG_HIGH,2026-02-16,EQP03,CH1,12,RCP_B,495.64,72.31,54.72,1.609,442.08,0.9445,709.75,48.891
SSN2026000014,LOT0061,PNL00173,OLED_C,CFG_STD,2026-01-20,EQP04,CH1,9,RCP_A,515.14,87.08,71.57,1.5506,395.28,0.98,697.27,52.057
SSN2026000015,LOT0067,PNL00651,OLED_A,CFG_HIGH,2026-02-20,EQP05,,11,RCP_A,527.06,80.02,65.87,1.4875,375.54,0.9404,732.55,53.72
SSN2026000016,LOT0044,PNL00338,OLED_A,CFG_LOW,2026-03-26,EQP04,CH2,9,RCP_A,531.1,89.38,61.9,1.549,527.67,1.0785,697.97,52.26
SSN2026000017,LOT0011,PNL00034,OLED_C,CFG_STD,2026-01-16,EQP03,CH2,8,RCP_C,511.34,66.26,57.84,1.52,465.8,1.0166,717.39,51.356
SSN2026000018,LOT0072,PNL00346,OLED_A,CFG_STD,2026-02-10,EQP04,CH3,1,RCP_B,490.89,80.06,58.29,1.6308,434.56,1.0952,714.69,50.231
SSN2026000019,LOT0039,PNL00323,OLED_A,CFG_STD,2026-02-27,EQP02,CH1,8,RCP_C,503.16,78.2,68.48,1.3258,467.23,0.9945,701.16,53.079
SSN2026000020,LOT0043,PNL00604,OLED_A,CFG_STD,2026-02-05,EQP03,CH1,2,RCP_C,534.23,89.65,61.69,1.4396,421.83,0.9975,688.85,49.264
