SSN,InspectDate,DPU,CD,THK,Taper,Brightness_Drift,Flicker_NG,Defect_Mode
SSN2026000000,2026-02-15,1.0,58.013,710.505,86.477,-0.1446,0,Normal
SSN2026000001,2026-02-26,2.0,59.08,719.827,85.622,-0.1363,0,Normal
SSN2026000002,2026-01-17,0.0,55.544,697.076,85.808,0.4248,0,Normal
SSN2026000003,2026-02-15,2.0,57.492,645.208,84.224,-0.0577,0,Normal
SSN2026000004,2026-02-26,1.0,50.481,700.631,83.636,0.037,0,Normal
SSN2026000005,2026-03-11,1.0,57.499,772.768,85.749,0.1404,0,Normal
SSN2026000006,2026-02-16,6.0,50.96,729.588,87.201,0.1936,0,Normal
SSN2026000007,2026-04-03,2.0,53.954,751.978,86.599,0.5084,1,Flicker
SSN2026000008,2026-04-02,3.0,62.392,698.51,82.979,0.4216,0,Normal
SSN2026000009,2026-01-10,6.0,56.852,654.68,85.905,0.6183,1,Brightness
SSN2026000010,2026-01-14,2.0,52.38,691.434,85.094,0.1452,0,Normal
SSN2026000011,2026-02-20,4.0,56.146,725.616,86.599,0.3602,0,Normal
SSN2026000012,2026-03-23,2.0,54.349,725.388,86.232,-0.1782,1,Flicker
SSN2026000013,2026-02-21,1.0,52.982,,85.684,0.1283,0,Normal
SSN2026000014,2026-01-24,0.0,60.136,707.721,86.351,-0.0897,0,Normal
SSN2026000015,2026-02-22,6.0,57.061,731.926,84.411,-0.1892,0,Particle
SSN2026000016,2026-03-31,5.0,54.709,692.45,84.89,0.0255,1,Scratch
SSN2026000017,2026-01-22,3.0,54.537,716.609,85.424,0.61,1,Brightness
SSN2026000019,2026-03-01,0.0,59.079,695.74,84.339,0.4973,0,Normal
SSN2026000020,2026-02-08,4.0,54.718,684.685,84.8,0.2311,0,Normal
SSN2026000021,2026-01-05,7.0,47.47,686.781,86.51,0.4708,0,Normal
SSN2026000022,2026-03-03,0.0,61.315,757.924,86.112,0.0126,1,Flicker
SSN2026000023,2026-03-10,3.0,56.406,731.058,85.877,0.5042,0,Normal
SSN2026000024,2026-03-03,1.0,54.65,738.353,85.105,0.6372,0,Brightness
SSN2026000025,2026-03-05,6.0,56.013,693.624,83.199,0.6024,0,Particle
SSN2026000026,2026-03-07,1.0,54.811,669.395,86.425,-0.2934,1,Flicker
SSN2026000027,2026-02-05,1.0,55.949,727.142,86.624,0.0838,1,Flicker
SSN2026000028,2026-01-05,1.0,52.534,734.334,84.337,0.6562,0,Brightness
SSN2026000029,2026-04-04,1.0,52.813,704.931,87.228,,0,Normal
SSN2026000030,2026-01-20,2.0,53.418,700.251,86.308,-0.0861,0,Normal
SSN2026000031,2026-03-22,4.0,59.276,675.144,86.41,0.2177,0,Normal
SSN2026000032,2026-02-20,6.0,53.608,737.331,84.391,0.0448,0,Particle
SSN2026000033,2026-02-19,5.0,53.516,743.665,84.702,0.0006,0,Particle
SSN2026000034,2026-01-07,4.0,58.751,694.719,85.772,0.6928,1,Brightness
SSN2026000035,2026-04-03,3.0,54.886,683.02,86.503,0.5154,0,Normal
SSN2026000036,2026-02-20,4.0,55.931,745.22,84.964,0.3008,1,Flicker
SSN2026000037,2026-03-20,2.0,53.628,706.841,81.605,-0.1612,0,Normal
SSN2026000038,2026-03-17,1.0,55.215,751.958,85.584,0.1413,0,Normal
SSN2026000039,2026-01-19,3.0,52.177,706.792,85.197,-0.2071,0,Normal
SSN2026000040,2026-04-01,3.0,53.562,712.804,87.154,-0.1595,0,Normal
SSN2026000041,2026-02-28,4.0,55.995,703.695,86.382,-0.2846,0,Normal
SSN2026000042,2026-01-23,0.0,55.581,703.914,85.7,0.241,0,Normal
SSN2026000043,2026-02-28,4.0,58.023,742.443,87.702,0.4238,0,Normal
SSN2026000044,2026-02-27,6.0,57.572,729.919,84.55,0.1917,0,Particle
SSN2026000045,2026-03-03,5.0,60.409,736.63,82.5,0.0997,0,Normal
SSN2026000046,2026-02-02,5.0,58.422,713.37,84.357,0.3157,0,Particle
SSN2026000047,2026-04-02,0.0,55.677,699.902,,-0.082,0,Normal
SSN2026000048,2026-01-27,2.0,51.421,712.006,84.901,,0,Normal
SSN2026000049,2026-02-20,3.0,54.507,701.479,85.546,0.277,0,Normal
SSN2026000050,2026-03-23,2.0,58.102,764.036,86.467,-0.2272,0,Normal
SSN2026000051,2026-01-14,0.0,56.999,727.881,87.678,0.2224,0,Normal
SSN2026000052,2026-02-10,0.0,55.202,717.083,85.402,0.6736,0,Brightness
SSN2026000053,2026-02-15,1.0,54.928,694.457,85.331,-0.2535,0,Normal
SSN2026000054,2026-03-14,1.0,57.194,743.063,88.012,-0.2882,0,Normal
SSN2026000055,2026-03-13,0.0,58.316,720.113,87.402,-0.0331,0,Normal
SSN2026000056,2026-03-18,3.0,56.766,696.945,86.248,-0.1844,0,Normal
SSN2026000057,2026-02-07,2.0,55.125,752.543,84.787,-0.001,0,Normal
SSN2026000058,2026-02-16,2.0,52.362,692.625,86.824,0.4287,1,Flicker
SSN2026000059,2026-01-07,1.0,53.27,697.591,88.198,0.4252,0,Normal
SSN2026000060,2026-03-22,2.0,53.753,703.008,84.947,0.3552,0,Normal
SSN2026000061,2026-02-03,4.0,56.136,671.635,85.677,-0.4578,0,Normal
SSN2026000062,2026-02-18,4.0,56.622,707.513,85.732,-0.031,0,Normal
SSN2026000063,2026-03-04,3.0,51.803,692.131,87.434,-0.1852,0,Normal
SSN2026000064,2026-03-14,1.0,53.393,692.716,87.19,-0.2751,0,Normal
SSN2026000065,2026-01-13,1.0,54.687,692.929,85.536,0.2694,0,Normal
SSN2026000066,2026-03-12,0.0,53.789,701.097,84.478,0.3281,1,
SSN2026000067,2026-02-05,6.0,56.299,695.3,85.187,-0.0979,0,Particle
SSN2026000068,2026-02-14,0.0,56.294,711.52,85.6,0.0038,1,Flicker
SSN2026000069,2026-01-16,3.0,52.907,724.21,86.575,-0.3268,0,Normal
SSN2026000070,2026-03-11,1.0,54.968,718.517,84.492,0.667,0,Brightness
SSN2026000071,2026-02-14,2.0,56.985,777.673,88.199,-0.2928,0,Normal
SSN2026000072,2026-01-15,0.0,53.258,706.116,85.961,0.1169,1,Flicker
SSN2026000073,2026-01-20,5.0,55.046,727.854,83.874,0.0284,0,Normal
SSN2026000074,2026-03-13,2.0,56.243,720.677,85.471,0.5779,0,Brightness
SSN2026000075,2026-01-12,1.0,53.064,706.141,85.948,0.2213,0,Particle
SSN2026000076,2026-02-18,2.0,50.714,711.294,,0.1216,0,Scratch
SSN2026000077,2026-03-09,2.0,50.585,726.431,86.274,0.2325,0,Normal
SSN2026000078,2026-03-31,3.0,55.202,708.551,86.953,-0.0646,1,Scratch
SSN2026000079,2026-01-16,2.0,50.902,690.236,87.294,0.7623,1,Brightness
SSN2026000080,2026-01-29,2.0,54.486,690.537,85.22,0.0041,0,Normal
SSN2026000081,2026-01-16,6.0,56.988,715.427,86.568,-0.1918,0,Particle
SSN2026000082,2026-03-27,1.0,52.328,656.232,85.932,0.2664,0,Normal
SSN2026000083,2026-02-27,3.0,54.907,753.119,85.544,-0.2324,0,Normal
SSN2026000084,2026-04-05,3.0,61.127,753.791,85.946,-0.3271,0,Normal
SSN2026000085,2026-01-05,2.0,56.472,716.74,85.179,0.4587,1,Flicker
SSN2026000086,2026-03-06,1.0,53.761,716.952,84.75,0.221,0,Normal
SSN2026000087,2026-01-07,6.0,55.057,736.276,86.01,-0.0835,0,Particle
SSN2026000088,2026-01-13,1.0,56.361,676.925,83.975,0.2697,0,Normal
SSN2026000089,2026-02-10,1.0,60.468,731.623,83.759,0.2168,0,Normal
SSN2026000090,2026-02-05,5.0,51.719,694.415,87.733,-0.1113,0,Particle
